Abbreviation,Full Form
Ky Dent J,Kentucky Dental Journal
Ky Hosp Mag,Kentucky Hospitals Magazine
Ky Nurse,Kentucky Nurse
Ky Nurses Assoc Newsl,Kentucky Nurses Association Newsletter
Kenya Nurs J,Kenya Nursing Journal
Khirurgiia Sofiia,Khirurgiia
Kidney Blood Press Res,Kidney and Blood Pressure Research
Kidney Int,Kidney International
Kidney Int Suppl,Kidney International. Supplement
Kinderarztl Prax,Kinderarztliche Praxis
Kinderkrankenschwester,Kinderkrankenschwester
King Faisal Spec Hosp Med J,King Faisal Specialist Hospital Medical Journal
Kisaengchunghak Chapchi,Kisaengchunghak Chapchi. Korean Journal of Parasitology
Kitasato Arch Exp Med,Kitasato Archives of Experimental Medicine
Klin Lab Diagn,Klinicheskaia Laboratornaia Diagnostika
Klin Med Mosk,Klinicheskaia Meditsina
Klin Khir,Klinichna Khirurhiia
Klin Lech Zlokach Novoobraz,Klinika i Lechenie Zlokachestvennykh Novoobrazovanii
Klin Oczna,Klinika Oczna
Klin Anasthesiol Intensivther,Klinische Anasthesiologie und Intensivtherapie
Klin Med Osterr Z Wiss Prakt Med,Klinische Medizin; Osterreichische Zeitschrift fur Wissenschaftliche und Praktische Medizin
Klin Monatsbl Augenheilkd,Klinische Monatsblatter fur Augenheilkunde
Klin Padiatr,Klinische Padiatrie
Klin Wochenschr,Klinische Wochenschrift
Klin Sygepleje,Klinisk Sygepleje
Knee Surg Sports Traumatol Arthrosc,"Knee Surgery, Sports Traumatology, Arthroscopy"
Kobe Daigaku Igakubu Kiyo,Kobe Daigaku Igakubu Kiyo. Medical Journal of Kobe University
Kobe Ika Daigaku Kiyo,Kobe Ika Daigaku Kiyo
Kobe J Med Sci,Kobe Journal of Medical Sciences
Koku Eisei Gakkai Zasshi,Koku Eisei Gakkai Zasshi
Kokubyo Gakkai Zasshi,"Kokubyo Gakkai Zasshi. The Journal of the Stomatological Society, Japan"
Kokuritsu Iyakuhin Shokuhin Eisei Kenkyusho Hokoku,Kokuritsu Iyakuhin Shokuhin Eisei Kenkyusho Hokoku
Kokyu To Junkan,Kokyu to Junkan. Respiration and Circulation
Korean J Intern Med,Korean Journal of Internal Medicine
Korean J Ophthalmol,Korean Journal of Ophthalmology
Korean J Parasitol,Korean Journal of Parasitology
Kosm Biol Aviakosm Med,Kosmicheskaia Biologiia i Aviakosmicheskaia Meditsina
Kosm Biol Med,Kosmicheskaia Biologiia i Meditsina
Krankenpflege Frankf,Krankenpflege
Krankenpfl J,Krankenpflege Journal
Krankenpfl Soins Infirm,Krankenpflege. Soins Infirmiers
Krankenschwester,Krankenschwester
Krebsarzt,Krebsarzt
Krebsforsch Krebsbekampf,Krebsforschung und Krebsbekampfung
Kritiek,Kritiek
Kroc Found Ser,Kroc Foundation Series
Kumamoto Igakkai Zasshi,Kumamoto Igakkai Zasshi. Journal of the Kumamoto Medical Society
Kumamoto Med J,Kumamoto Medical Journal
Kurinikaru Sutadi,Kurinikaru Sutadi. Clinical Study
Kurume Med J,Kurume Medical Journal
KY Rep,KY Reports
Kybernetik,Kybernetik
Kyobu Geka,Kyobu Geka. Japanese Journal of Thoracic Surgery
Kyoto Daigaku Kokukagaku Kiyo,"Kyoto Daigaku Kokukagaku Kiyo. Bulletin of Stomatology, Kyoto University"
Kyushu J Med Sci,Kyushu Journal of Medical Science
Labor Law J,Labor Law Journal
Laboratorio,Laboratorio
Lab Delo,Laboratornoe Delo
Lab Res Methods Biol Med,Laboratory and Research Methods in Biology and Medicine
Lab Anim Care,Laboratory Animal Care
Lab Anim Sci,Laboratory Animal Science
Lab Anim,Laboratory Animals
Lab Invest,Laboratory Investigation
Lab Pract,Laboratory Practice
Lahey Clin Found Bull,Lahey Clinic Foundation Bulletin
Lakartidningen,Lakartidningen
Lamp,Lamp
Lampada,Lampada
Lancet,Lancet
Landarzt,Landarzt
Langenbecks Arch Chir,Langenbecks Archiv fur Chirurgie
Langenbecks Arch Chir Suppl II Verh Dtsch Ges Chir,Langenbecks Archiv fur Chirurgie. Supplement II. Verhandlungen der Deutschen Gesellschaft fur Chirurgie
Langenbecks Arch Chir Suppl Kongressbd,Langenbecks Archiv fur Chirurgie. Supplement. Kongressband
Langenbecks Arch Surg,Langenbecks Archives of Surgery
Lang Speech,Language and Speech
LARC Med,LARC Medical
Laryngorhinootologie,Laryngo- Rhino- Otologie
Laryngol Rhinol Otol Stuttg,"Laryngologie, Rhinologie, Otologie"
Laryngoscope,Laryngoscope
Lasers Surg Med,Lasers in Surgery and Medicine
Lasers Surg Med Suppl,Lasers in Surgery and Medicine. Supplement
Lattante,Lattante
Laund News,Laundry News
Laval Med,Laval Medical
Lav Ist Anat Istol Patol Univ Studi Perugia,"Lavori dell Istituto di Anatomia e Istologia Patologica, Universita Degli Studi Perugia"
Lav Um,Lavoro Umano
Law Contemp Probl,Law and Contemporary Problems
Law Hum Behav,Law and Human Behavior
Law Hum Genome Rev,Law and the Human Genome Review
Law Med Health Care,"Law, Medicine and Health Care"
LDA J,LDA Journal
Leadersh Health Serv,Leadership in Health Services
League Exch,League Exchange
League Lines,League Lines
Learn Mem,Learning and Memory
Learn Motiv,Learning and Motivation
Learn Curve,Learning Curve
Lebensversicher Med,Lebensversicherungs Medizin
Leber Magen Darm,"Leber, Magen, Darm"
Leeds Dent J,Leeds Dental Journal
Leg Aspects Med Pract,Legal Aspects of Medical Practice
Leg Med Q,Legal Medical Quarterly
Leg Med,Legal Medicine
Leg Med Annu,Legal Medicine Annual
Lek Veda Zahr,Lekarska Veda V Zahranici
Lek Pr,Lekarske Prace
Lens Eye Toxic Res,Lens and Eye Toxicity Research
Lepr India,Leprosy in India
Lepr Rev,Leprosy Review
Lett Appl Microbiol,Letters in Applied Microbiology
Leukemia,Leukemia
Leuk Lymphoma,Leukemia and Lymphoma
Leuk Res,Leukemia Research
Libr J,Library Journal
Libr Resources Tech Serv,Library Resources and Technical Services
Libr Technol Rep,Library Technology Reports
Life Sci,Life Sciences
Life Sci I,Life Sciences. Part 1. Physiology and Pharmacology
Life Sci II,"Life Sciences. Part 2. Biochemistry, General and Molecular Biology"
Life Support Syst,Life Support Systems
Life Threat Behav,Life-Threatening Behavior
Lifelong Learn Adult Years,Lifelong Learning. The Adult Years
Lifetime Data Anal,Lifetime Data Analysis
Ligament,Ligament
Lijec Vjesn,Lijecnicki Vjesnik
Lik Sprava,Likarska Sprava
Lille Chir,Lille Chirurgical
Lille Med,Lille Medical
Lin Chuang Erh Pi Yen Hou Ko Tsa Chih,Lin Chuang Erh Pi Yen Hou Ko Tsa Chih :Journal of Clinical Otorhinolaryngology
Linen Supply News,Linen Supply News
Lipids,Lipids
Lippincott Health Promot Lett,Lippincott Health Promotion Letter
Lippincotts Prim Care Pract,Lippincotts Primary Care Practice
Lit Med,Literature and Medicine
Liver,Liver
Liver Transpl Surg,Liver Transplantation and Surgery
Lloydia,Lloydia
Lmt,Lmt
Log,Log
Loma Linda Univ Dent Mag,Loma Linda University Dentist Magazine
Lond Clin Med J,London Clinic Medical Journal
Long Range Plann,Long Range Planning
Long Term Care Don Mills,Long Term Care
Long Term Care Health Serv Adm Q,Long Term Care and Health Services Administration Quarterly
Long Term Care Q,Long Term Care Quarterly
Lotta Contro Tuberc,Lotta Contro la Tubercolosi
Luminescence,Luminescence
Lung,Lung
Lung Cancer,Lung Cancer
Lupus,Lupus
Lutte Cancer,Lutte Contre le Cancer
Lymphokine Cytokine Res,Lymphokine and Cytokine Research
Lymphokine Res,Lymphokine Research
Lymphology,Lymphology
Lyon Chir,Lyon Chirurgical
Lyon Med,Lyon Medical
Ma Tsui Hsueh Tsa Chi,Ma Tsui Hsueh Tsa Chi
Maandschr Kindergeneeskd,Maandschrift Voor Kindergeneeskunde
Manedsskr Prakt Laegegern,Maanedsskrift for Praktisk Laegegerning
Macromolecules,Macromolecules
Madj Persat Dokt Gigi Indones,Madjalah Persatuan Dokter Gigi Indonesia. Journal of the Indonesian Dental Association
MAGMA,MAGMA
Magnesium,Magnesium
Magnes Trace Elem,Magnesium and Trace Elements
Magnes Res,Magnesium Research
Magn Reson Annu,Magnetic Resonance Annual
Magn Reson Imaging,Magnetic Resonance Imaging
Magn Reson Imaging Clin N Am,Magnetic Resonance Imaging Clinics of North America
Magn Reson Med,Magnetic Resonance in Medicine
Magn Reson Q,Magnetic Resonance Quarterly
Magy Traumatol Orthop Helyreallito Seb,"Magyar Traumatologia, Orthopaedia Es Helyreallito Sebeszet"
Magy Traumatol Ortop Kezseb Plasztikai Seb,"Magyar Traumatologia, Ortopedia, Kezsebeszet, Plasztikai Sebeszet"
Maine Nurse,Maine Nurse
Mainlines,Mainlines
Majallat Niqabat Attiba Alasnnan Alurduniyah,Majallat Niqabat Attiba Al-Asnnan Al-Urduniyah
Majallat Tibb Alasnan Alsuriyah,Majallat Tibb Al-Asnan Al-Suriyah
Majallat Tibb Alfamm Alsuriyah,Majallat Tibb Al-Famm Al-Suriyah
Major Probl Clin Pediatr,Major Problems in Clinical Pediatrics
Major Probl Clin Surg,Major Problems in Clinical Surgery
Major Probl Intern Med,Major Problems in Internal Medicine
Major Probl Obstet Gynecol,Major Problems in Obstetrics and Gynecology
Major Probl Pathol,Major Problems in Pathology
Malacologia,Malacologia
Mal Cardiovasc,Malattie Cardiovascolari
Malays Dent J,Malaysian Dental Journal
Malays J Pathol,Malaysian Journal of Pathology
Male Nurses J,Male Nurses Journal
Mammalia,Mammalia
Mamm Genome,Mammalian Genome
Man Med,Man and Medicine
Manag Care,Managed Care
Manag Care Interface,Managed Care Interface
Manag Care Q,Managed Care Quarterly
Manag Care Strateg,Managed Care Strategies
Manag Medicare Medicaid News,Managed Medicare and Medicaid News
Manag Compliance Ser,Management and Compliance Series
Manage Focus,Management Focus
Manage Rev,Management Review
Manage World,Management World
Manch Med Gaz,Manchester Medical Gazette
Manit Med Rev,Manitoba Medical Review
Mark Health Serv,Marketing Health Services
Maroc Med,Maroc Medical
Mars Chir,Marseille Chirurgical
Mars Med,Marseille Medical
Md Med J,Maryland Medical Journal
Md Nurse,Maryland Nurse
Md Nurs News,Maryland Nursing News
Md State Med J,Maryland State Medical Journal
Mass Spectrom Rev,Mass Spectrometry Reviews
Mass Nurse,Massachusetts Nurse
Masui,Masui. Japanese Journal of Anesthesiology
Mater Med Pol,Materia Medica Polona
Mater Manag Health Care,Materials Management in Health Care
Matern Child Nurs J,Maternal-Child Nursing Journal
Matern Infanc Sao Paulo,Maternidade e Infancia
Maternite,Maternite
Math Biosci,Mathematical Biosciences
Matrix,Matrix
Matrix Biol,Matrix Biology
Matrix Suppl,Matrix. Supplement
Maturitas,Maturitas
Mayan,Mayan
Mayo Clin Health Lett,Mayo Clinic Health Letter
Mayo Clin Proc,Mayo Clinic Proceedings
Mcgill Dent Rev,Mcgill Dental Review
Mcgraw Hills Med Health,Mcgraw-Hills Medicine and Health
Mcgraw Hills Wash Rep Med Health,Mcgraw-Hills Washington Report on Medicine and Health
MCN Am J Matern Child Nurs,MCN; American Journal of Maternal Child Nursing
MD,MD
MD Comput,MD Computing
Mead Johnson Symp Perinat Dev Med,Mead Johnson Symposium on Perinatal and Developmental Medicine
Mech Ageing Dev,Mechanisms of Ageing and Development
Mech Dev,Mechanisms of Development
Med Audio Vis,Medecine et Audio Vision
Med Chir Dig,Medecine et Chirurgie Digestives
Med Hyg Geneve,Medecine et Hygiene
Med Infant Paris,Medecine Infantile
Med Interne,Medecine Interne
Med Leg Dommage Corpor,Medecine Legale et Dommage Corporel
Med Trop Mars,Medecine Tropicale
Mediators Inflamm,Mediators of Inflammation
Med Aff,Medical Affairs
Med Biol Eng,Medical and Biological Engineering
Med Biol Eng Comput,Medical and Biological Engineering and Computing
Med Biol Illus,Medical and Biological Illustration
Med Pediatr Oncol,Medical and Pediatric Oncology
Med Pediatr Oncol Suppl,Medical and Pediatric Oncology. Supplement
Med Vet Entomol,Medical and Veterinary Entomology
Med Ann Dist Columbia,Medical Annals of the District of Columbia
Med Anthropol,Medical Anthropology
Med Anthropol Q,Medical Anthropology Quarterly
Med Art,Medical Art
Med Arts Sci,Medical Arts and Sciences
Med Aspects Hum Sex,Medical Aspects of Human Sexuality
Med Biol,Medical Biology
Med Bull Vet Adm,Medical Bulletin / Veterans Administration
Med Care,Medical Care
Med Care Res Rev,Medical Care Research and Review
Med Care Rev,Medical Care Review
Med Claims Manag,Medical Claims Management
Med Clin North Am,Medical Clinics of North America
Med Decis Making,Medical Decision Making
Med Dent J,Medical/Dental Journal
Med Des Mater,Medical Design and Material
Med Device Technol,Medical Device Technology
Med Dosim,Medical Dosimetry
Med Econ,Medical Economics
Med Educ,Medical Education
Med Electron,Medical Electronics
Med Electron Biol Eng,Medical Electronics and Biological Engineering
Med Eng Phys,Medical Engineering and Physics
Med Group Manage,Medical Group Management
Med Group Manage J,Medical Group Management Journal
Med Gynaecol Androl Sociol,"Medical Gynaecology, Andrology, and Sociology"
Med Hist,Medical History
Med Hist Suppl,Medical History. Supplement
Med Hypotheses,Medical Hypotheses
Med Image Anal,Medical Image Analysis
Med Inform Lond,Medical Informatics
Med Inform Internet Med,Medical Informatics and the Internet in Medicine
Med Instrum,Medical Instrumentation
Med Interface,Medical Interface
Med J Aust,Medical Journal of Australia
Med J Malaya,Medical Journal of Malaya
Med J Malaysia,Medical Journal of Malaysia
Med J Osaka Univ,Medical Journal of Osaka University
Med J Zambia,Medical Journal of Zambia
Med Lab Sci,Medical Laboratory Sciences
Med Lab Technol,Medical Laboratory Technology
Med Lett Drugs Ther,Medical Letter on Drugs and Therapeutics
Med Malpract Cost Containment J,Medical Malpractice Cost Containment Journal
Med Manag Netw,Medical Management Network
Med Mark Media,Medical Marketing and Media
Med Microbiol Immunol Berl,Medical Microbiology and Immunology
Med Mycol,Medical Mycology
Med Netw Strategy Rep,Medical Network Strategy Report
Med Newsl London,Medical Newsletter
Med Oncol,Medical Oncology
Med Oncol Tumor Pharmacother,Medical Oncology and Tumor Pharmacotherapy
Med Phys,Medical Physics
Med Prod Sales,Medical Products Sales
Med Prog Technol,Medical Progress Through Technology
Med Radiogr Photogr,Medical Radiography and Photography
Med Rec Health Care Inf J,Medical Record and Health Care Information Journal
Med Rec News,Medical Record News
Med Ref Serv Q,Medical Reference Services Quarterly
Med Res Counc Spec Rep Ser Lond,Medical Research Council Special Report Series
Med Res Eng,Medical Research Engineering
Med Sect Proc,Medical Section Proceedings
Med Serv,Medical Service
Med Serv J Can,"Medical Services Journal, Canada"
Med Staff Couns,Medical Staff Counselor
Med Teach,Medical Teacher
Med Times,Medical Times
Med Toxicol,Medical Toxicology
Med Toxicol Adverse Drug Exp,Medical Toxicology and Adverse Drug Experience
Med Trial Tech Q,Medical Trial Technique Quarterly
Med Waste Anal,Medical Waste Analyst
Med World News,Medical World News
Medicamundi,Medicamundi
Medicina Mex,Medicina
Med Clin Barc,Medicina Clinica
Med Clin Sper,Medicina Clinica e Sperimentale
Med Contemp,Medicina Contemporanea
Med Cutan Ibero Lat Am,Medicina Cutanea Ibero-Latino-Americana
Med Lav,Medicina del Lavoro
Med Sport Roma,Medicina Dello Sport
Med Esp,Medicina Espanola
Med Pharmacol Exp Int J Exp Med,Medicina et Pharmacologia Experimentalis. International Journal of Experimental Medicine
Med Exp Int J Exp Med,Medicina Experimentalis. International Journal of Experimental Medicine
Med Fis Rehabil,Medicina Fisica y Rehabilitacion
Med Interna,Medicina Interna
Med Secoli,Medicina Nei Secoli
Med Panam,Medicina Panamericana
Med Thorac,Medicina Thoracalis
Med Trop Madr,Medicina Tropical
Med Cir Guerra,Medicina y Cirugia de Guerra
Med Res Rev,Medicinal Research Reviews
Medicine Baltimore,Medicine
Med Health,Medicine and Health
Med Health R I,"Medicine and Health, Rhode Island"
Med Law,Medicine and Law
Med Sci Sports,Medicine and Science in Sports
Med Sci Sports Exerc,Medicine and Science in Sports and Exercise
Med War,Medicine and War
Med Confl Surviv,"Medicine, Conflict and Survival"
Med Sci Law,"Medicine, Science and the Law"
Med Arh,Medicinski Arhiv
Med Glas,Medicinski Glasnik
Med Pregl,Medicinski Pregled
Med Leg Bull,Medico-Legal Bulletin
Med Leg J,Medico-Legal Journal
Medicoleg News,Medicolegal News
Medinfo,Medinfo
Med Tr Prom Ekol,Meditsina Truda i Promyshlennaia Ekologiia
Med Parazitol Mosk,Meditsinskaia Parazitologiia i Parazitarnye Bolezni
Med Prom SSSR,Meditsinskaia Promyshlennost SSSR
Med Radiol Mosk,Meditsinskaia Radiologiia
Med Sestra,Meditsinskaia Sestra
Med Tekh,Meditsinskaia Tekhnika
Med Ges,Medizin und Gesellschaft
Medizinhist J,Medizinhistorisches Journal
Med Klin,Medizinische Klinik
Med Klin Suppl,Medizinische Klinik. Supplement
Med Lab Stuttg,Medizinische Laboratorium
Med Monatsschr,Medizinische Monatsschrift
Med Monatsschr Pharm,Medizinische Monatsschrift fur Pharmazeuten
Med Welt,Medizinische Welt
Medscape Womens Health,Medscape Womens Health
Medsurg Nurs,Medsurg Nursing
Med Dosw Mikrobiol,Medycyna Doswiadczalna i Mikrobiologia
Med Dosw,Medycyna Doswiadczalna; Poznanskie Towarzystwo Przyjaciol Nauk
Med Pr,Medycyna Pracy
Med Weter,Medycyna Weterynaryjna
Meharri Dent,Meharri-Dent
Meikai Daigaku Shigaku Zasshi,Meikai Daigaku Shigaku Zasshi
Melanoma Res,Melanoma Research
Membr Cell Biol,Membrane and Cell Biology
Membr Biochem,Membrane Biochemistry
Membranes,Membranes
Mem Acad Chir Paris,Memoires de l Academie de Chirurgie
Mem Acad R Med Belg,Memoires de l Academie Royale de Medecine de Belgique
Memo Med Res Counc,Memorandum - Medical Research Council
Mem Inst Butantan,Memorias do Instituto Butantan
Mem Inst Oswaldo Cruz,Memorias do Instituto Oswaldo Cruz
Memory,Memory
Mem Cognit,Memory and Cognition
Menopause,Menopause
Ment Health Soc,Mental Health and Society
Ment Health Care,Mental Health Care
Ment Health Nurs,Mental Health Nursing
Ment Health Stat Note,Mental Health Statistical Note
Ment Hosp,Mental Hospitals
Ment Hyg,Mental Hygiene
Ment Retard,Mental Retardation
Ment Retard Abstr,Mental Retardation Abstracts
Mentalis,Mentalis
Mercer Dent Soc Newsl,Mercer Dental Society Newsletter
Metab Pediatr Ophthalmol,Metabolic and Pediatric Ophthalmology
Metab Bone Dis Relat Res,Metabolic Bone Disease and Related Research
Metab Brain Dis,Metabolic Brain Disease
Metab Ophthalmol,Metabolic Ophthalmology
Metab Pediatr Syst Ophthalmol,"Metabolic, Pediatric and Systemic Ophthalmology"
Metabolism,Metabolism: Clinical and Experimental
Met Ions Biol Syst,Metal Ions in Biological Systems
Methods,Methods
Methods Achiev Exp Pathol,Methods and Achievements in Experimental Pathology
Methods Find Exp Clin Pharmacol,Methods and Findings in Experimental and Clinical Pharmacology
Methods Cell Biol,Methods in Cell Biology
Methods Enzymol,Methods in Enzymology
Methods Med Res,Methods in Medical Research
Methods Mol Biol,Methods in Molecular Biology
Methods Biochem Anal,Methods of Biochemical Analysis
Methods Inf Med,Methods of Information in Medicine
Methods Inf Med Suppl,Methods of Information in Medicine. Supplement
MH,MH
Mich Health Hosp,Michigan Health and Hospitals
Mich Hosp,Michigan Hospitals
Mich Law Rev,Michigan Law Review
Mich Med,Michigan Medicine
Mich Nurse,Michigan Nurse
Microb Comp Genomics,Microbial and Comparative Genomics
Microb Ecol,Microbial Ecology
Microb Pathog,Microbial Pathogenesis
Microb Releases,Microbial Releases
Microbiologia,Microbiologia
Microbiol Esp,Microbiologia Espanola
Microbiol Parazitol Epidemiol Bucur,"Microbiologia, Parazitologia, Epidemiologia"
Microbiologica,Microbiologica
Microbiol Res,Microbiological Research
Microbiol Rev,Microbiological Reviews
Microbiol Sci,Microbiological Sciences
Microbiology,Microbiology
Microbiol Immunol,Microbiology and Immunology
Microbiol Mol Biol Rev,Microbiology and Molecular Biology Reviews
Microbios,Microbios
Microchem J,Microchemical Journal
Microcirculation,Microcirculation
Microcirc Endothelium Lymphatics,"Microcirculation, Endothelium, and Lymphatics"
Micron,Micron
Microsc Electron Biol Celular,Microscopia Electronica y Biologia Celular
Microsc Acta,Microscopica Acta
Microsc Acta Suppl,Microscopica Acta. Supplement
Microsc Res Tech,Microscopy Research and Technique
Microsurgery,Microsurgery
Microvasc Res,Microvascular Research
Middle East Dent Oral Health,Middle East Dentistry and Oral Health
Middle East Health,Middle East Health
Middle East J Anaesthesiol,Middle East Journal of Anaesthesiology
Middle East J Anesthesiol,Middle East Journal of Anesthesiology
Midwest Alliance Nurs J,Midwest Alliance in Nursing Journal
Midwest Dent,Midwestern Dentist
Midwife Health Visit,Midwife and Health Visitor
Midwife Health Visit Community Nurse,"Midwife, Health Visitor and Community Nurse"
Midwifery,Midwifery
Midwifery Today Childbirth Educ,Midwifery Today and Childbirth Education
Midwifery Today Int Midwife,Midwifery Today With International Midwife
Midwives,Midwives
Midwives Chron,Midwives Chronicle
Mie Med J,Mie Medical Journal
Mikrobiol Zh,Mikrobiologicheskii Zhurnal
Mikrobiologiia,Mikrobiologiia
Mikrobiol Zh,Mikrobiolohichnyi Zhurnal
Mikrobiyol Bul,Mikrobiyoloji Bulteni
Mikrochim Acta,Mikrochimica Acta
Mikrochim Ichnoanal Acta,Mikrochimica et Ichnoanalytica Acta
Mikroskopie,Mikroskopie
Milbank Mem Fund Q,Milbank Memorial Fund Quarterly
Milbank Mem Fund Q Health Soc,Milbank Memorial Fund Quarterly. Health and Society
Milbank Q,Milbank Quarterly
Militaerlaegen,Militaerlaegen
Mil Med,Military Medicine
Miner Electrolyte Metab,Mineral and Electrolyte Metabolism
Minerva Anestesiol,Minerva Anestesiologica
Minerva Cardioangiol,Minerva Cardioangiologica
Minerva Chir,Minerva Chirurgica
Minerva Dermatol,Minerva Dermatologica
Minerva Dietol Gastroenterol,Minerva Dietologica e Gastroenterologica
Minerva Ecol Idroclimatol Fisiconucl,Minerva Ecologia Idroclimatologica e Fisiconucleare
Minerva Ecol Idroclimatol Fis Sanit,Minerva Ecologica Idroclimatologica Fisicosanitaria
Minerva Endocrinol,Minerva Endocrinologica
Minerva Fisiconucl,Minerva Fisiconucleare
Minerva Gastroenterol Dietol,Minerva Gastroenterologica e Dietologica
Minerva Ginecol,Minerva Ginecologica
Minerva Med,Minerva Medica
Minerva Medicoleg,Minerva Medicolegale
Minerva Nefrol,Minerva Nefrologica
Minerva Neurochir,Minerva Neurochirurgica
Minerva Nipiol,Minerva Nipiologica
Minerva Nucl,Minerva Nucleare
Minerva Oftalmol,Minerva Oftalmologica
Minerva Ortognatod,Minerva Ortognatodontica
Minerva Ortop,Minerva Ortopedica
Minerva Otorinolaringol,Minerva Otorinolaringologica
Minerva Pediatr,Minerva Pediatrica
Minerva Psichiatr,Minerva Psichiatrica
Minerva Radiol,Minerva Radiologica
Minerva Stomatol,Minerva Stomatologica
Minerva Urol,Minerva Urologica
Minerva Urol Nefrol,Minerva Urologica e Nefrologica
Minim Invasive Neurosurg,Minimally Invasive Neurosurgery
Minim Invasive Surg Nurs,Minimally Invasive Surgical Nursing
Minneap Dist Dent J,Minneapolis District Dental Journal
Minn Med,Minnesota Medicine
Minn Nurs Accent,Minnesota Nursing Accent
Minor Nurse Newsl,Minority Nurse Newsletter
Miss Dent Assoc J,Mississippi Dental Association Journal
Miss RN,Mississippi RN
Mo Dent J,Missouri Dental Journal
Mo Med,Missouri Medicine
Mo Nurse,Missouri Nurse
Mitt Dtsch Pharm Ges Pharm Ges DDR,Mitteilungen der Deutschen Pharmazeutischen Gesellschaft und der Pharmazeutischen Gesellschaft der DDR
MLM Rep,MLM Reports
MLN Bull,MLN Bulletin
MLO Med Lab Obs,MLO: Medical Laboratory Observer
Immunomethods,Mmunomethods
MMW Munch Med Wochenschr,MMW. Munchener Medizinische Wochenschrift
MMWR CDC Surveill Summ,MMWR CDC Surveillance Summaries
MMWR Morb Mortal Wkly Rep,MMWR. Morbidity and Mortality Weekly Report
MMWR Surveill Summ,MMWR. Surveillance Summaries
MNA Accent,MNA Accent
Mobius,Mobius
Mod Concepts Cardiovasc Dis,Modern Concepts of Cardiovascular Disease
Mod Dent Pract,Modern Dental Practice
Mod Healthc,Modern Healthcare
Mod Healthc Short Term Care,Modern Healthcare (Short Term Care)
Mod Hosp,Modern Hospital
Mod Med Asia,Modern Medicine of Asia
Mod Midwife,Modern Midwife
Mod Nurs Home,Modern Nursing Home
Mod Pathol,Modern Pathology
Mod Probl Ophthalmol,Modern Problems in Ophthalmology
Mod Probl Paediatr,Modern Problems in Paediatrics
Mod Probl Pharmacopsychiatry,Modern Problems of Pharmacopsychiatry
Mod Treat,Modern Treatment
Mod Trends Immunol,Modern Trends in Immunology
Mod Trends Med Virol,Modern Trends in Medical Virology
Mod Trends Neurol,Modern Trends in Neurology
Mod Trends Orthop,Modern Trends in Orthopaedics
Mod Trends Plast Surg,Modern Trends in Plastic Surgery
Mod Trends Radiother,Modern Trends in Radiotherapy
Mod Trends Rheumatol,Modern Trends in Rheumatology
Mod Trends Surg,Modern Trends in Surgery
Mod Vet Pract,Modern Veterinary Practice
Mol Biochem Parasitol,Molecular and Biochemical Parasitology
Mol Cell Biol Hum Dis Ser,Molecular and Cell Biology of Human Diseases Series
Mol Cell Biochem,Molecular and Cellular Biochemistry
Mol Cell Biol,Molecular and Cellular Biology
Mol Cell Endocrinol,Molecular and Cellular Endocrinology
Mol Cell Neurosci,Molecular and Cellular Neurosciences
Mol Cell Probes,Molecular and Cellular Probes
Mol Chem Neuropathol,Molecular and Chemical Neuropathology
Mol Gen Genet,Molecular and General Genetics
Mol Aspects Med,Molecular Aspects of Medicine
Mol Biol,Molecular Biology
Mol Biol Evol,Molecular Biology and Evolution
Mol Biol Med,Molecular Biology and Medicine
Mol Biol Biochem Biophys,"Molecular Biology, Biochemistry and Biophysics"
Mol Biol Cell,Molecular Biology of the Cell
Mol Biol Rep,Molecular Biology Reports
Mol Biotechnol,Molecular Biotechnology
Mol Biother,Molecular Biotherapy
Mol Carcinog,Molecular Carcinogenesis
Mol Cell,Molecular Cell
Mol Diagn,Molecular Diagnosis
Mol Divers,Molecular Diversity
Mol Ecol,Molecular Ecology
Mol Endocrinol,Molecular Endocrinology
Mol Genet Med,Molecular Genetic Medicine
Mol Genet Metab,Molecular Genetics and Metabolism
Mol Hum Reprod,Molecular Human Reproduction
Mol Immunol,Molecular Immunology
Mol Mar Biol Biotechnol,Molecular Marine Biology and Biotechnology
Mol Med,Molecular Medicine
Mol Med Today,Molecular Medicine Today
Mol Membr Biol,Molecular Membrane Biology
Mol Microbiol,Molecular Microbiology
Mol Neurobiol,Molecular Neurobiology
Mol Pathol,Molecular Pathology
Mol Pharmacol,Molecular Pharmacology
Mol Phylogenet Evol,Molecular Phylogenetics and Evolution
Mol Plant Microbe Interact,Molecular Plant-Microbe Interactions
Mol Psychiatry,Molecular Psychiatry
Mol Reprod Dev,Molecular Reproduction and Development
Mol Toxicol,Molecular Toxicology
Mol Vis,Molecular Vision
Mol Cells,Molecules and Cells
Mol Med Sofia,Molekuliarna Meditsina
Mol Biol Mosk,Molekuliarnaia Biologiia
Mol Gen Mikrobiol Virusol,"Molekuliarnaia Genetika, Mikrobiologia, i Virusologa"
Monaldi Arch Chest Dis,Monaldi Archives for Chest Disease
Monatsh Veterinarmed,Monatshefte fur Veterinarmedizin
Monatsschr Dtsch Zahnarzte Freie Zahnarzt,Monatsschrift Deutscher Zahnarzte der Freie Zahnarzt
Monatsschr Kinderheilkd,Monatsschrift fur Kinderheilkunde
Monatsschr Ohrenheilkd Laryngorhinol,Monatsschrift fur Ohrenheilkunde und Laryngo-Rhinologie
Monatsschr Unfallheilkd,Monatsschrift fur Unfallheilkunde
